epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,7183.52,1.29171,1.78332,1.21602,0.01829,0.083,0.52219,0.37475,0.39952,0.26166,0.51556,0.34642,0.36722,0.2292,1.5665,2.41691,2.30804,0.02564,0,0.00085348,0.00085348,0.00085348
76,7278.49,1.31935,1.74996,1.29082,0.01836,0.08297,0.58569,0.38412,0.44031,0.28446,0.58494,0.3702,0.41315,0.24911,1.54245,2.4798,2.26446,0.02451,0,0.0008515,0.0008515,0.0008515
77,7373.57,1.25234,1.66104,1.139,0.01734,0.07962,0.46399,0.37855,0.43094,0.28597,0.45199,0.37037,0.41989,0.25505,1.58806,2.64202,2.24409,0.02611,0,0.00084952,0.00084952,0.00084952
78,7468.68,1.30361,1.65505,1.17001,0.01783,0.07792,0.48195,0.37075,0.3952,0.26653,0.47343,0.36389,0.38181,0.23074,1.54415,2.54088,2.21492,0.02547,0,0.00084754,0.00084754,0.00084754
79,7563.95,1.24478,1.67223,1.13435,0.01642,0.07552,0.49122,0.34924,0.42483,0.281,0.67206,0.28861,0.39627,0.23589,1.53723,2.47126,2.17498,0.02497,0,0.00084556,0.00084556,0.00084556
80,7658.96,1.24225,1.56947,1.12126,0.01778,0.07867,0.6089,0.3543,0.41895,0.28449,0.59792,0.3473,0.39968,0.23054,1.51671,2.50556,2.21504,0.02483,0,0.00084358,0.00084358,0.00084358
81,7754.13,1.27635,1.69933,1.19992,0.01717,0.07679,0.49682,0.378,0.4235,0.27692,0.4977,0.3658,0.40856,0.24328,1.55442,2.42384,2.31267,0.02553,0,0.0008416,0.0008416,0.0008416
82,7849.17,1.26516,1.59154,1.1321,0.01688,0.08225,0.54954,0.37394,0.44893,0.30812,0.54312,0.3684,0.43963,0.25525,1.59784,2.50029,2.26345,0.02731,0,0.00083962,0.00083962,0.00083962
83,7944.11,1.21214,1.55997,1.12941,0.01646,0.07454,0.6028,0.31199,0.39944,0.27666,0.59501,0.30689,0.38604,0.24522,1.5384,2.56649,2.29153,0.02508,0,0.00083764,0.00083764,0.00083764
84,8039.37,1.19459,1.57601,1.11559,0.01574,0.07649,0.57125,0.34655,0.42903,0.28831,0.56732,0.34527,0.42042,0.24853,1.49823,2.57318,2.23402,0.02411,0,0.00083566,0.00083566,0.00083566
85,8134.29,1.25634,1.57426,1.16353,0.01644,0.07846,0.55388,0.38318,0.43357,0.28723,0.51815,0.38323,0.42163,0.26454,1.57832,2.62912,2.10954,0.02576,0,0.00083368,0.00083368,0.00083368
